vz,vzPull,vy,vyPull,uncM,eleZ0,posZ0,projY,eleTrkTanLambda,posTrkTanLambda,signal
-3.06211,-0.66997890441,-0.034461,-1.81310940347,0.104387,-0.44383619,-0.34293032,0.0342228,0.0556991,-0.0301756,0
-3.82692,0.808462050245,0.1059944,-0.144724704246,0.107047,-0.34579363,-0.49971898,0.1058127,0.0313643,0.0577685,0
-2.46015,0.667610251973,0.1386483,-0.534402452162,0.0941709,0.22942275,-0.48751215,0.080132568,-0.0417703,0.0601592,0
0.27163,2.01868461858,0.07767543,0.427563000944,0.0932406,-0.25646111,-0.39938371,-0.123685,-0.0385209,-0.0388565,0
-1.28889,0.0738926448992,0.1412169,-0.422762474794,0.0971532,-0.24524122,-0.2388997,0.0214048,-0.0593837,0.0407897,0
-1.36703,1.47560806611,-0.043815,-0.669669550363,0.104387,0.5813585,0.21626803,-0.030747,0.0431751,-0.0248306,0
-1.25472,0.517730684693,-0.036451,0.294300924971,0.10864,0.2282237,0.29410687,0.0636515,-0.0321269,0.038149,0
2.78849,1.21205269014,0.0431178,-0.0644505702856,0.105222,0.27698522,0.50381811,-0.051078,0.0558938,0.0302827,0
2.25253,0.763031675842,0.0198387,-0.0111457979949,0.101325,-0.45227683,-0.54185594,-0.14492,-0.0494905,0.0345019,0
0.6966,0.671573827283,-0.038123,-0.0433635641287,0.104165,-0.2123349,-0.45011763,0.0050422,0.0548558,0.0314748,0
-1.67045,1.55367948263,0.0144256,0.805334362127,0.106974,-0.32145101,-0.33842037,0.0335449,-0.0474616,0.0298897,0
-2.71815,0.981323470488,-0.030048,0.527452132065,0.0984203,-0.61858671,0.46573255,-0.023013,0.0494377,-0.0437327,0
-0.30679,1.69186008948,0.0424909,-0.743325724511,0.090287,0.29496943,-0.26861906,-0.0032913,-0.0511591,-0.0658062,0
-2.88894,-1.12509207433,0.0424429,1.01865842979,0.0977818,0.19706769,-0.16061406,-0.064977,0.0485124,0.044463,0
0.30898,-0.763250937628,0.0336826,-0.331205653859,0.0959913,0.26164512,0.37939031,0.0021148,0.0519043,0.0508036,0
0.67666,-0.00986720067692,0.0169074,-0.615882470374,0.103906,-0.58092399,0.31109398,0.0303056,-0.0630778,0.0448523,0
0.94563,-1.66640145543,0.0321675,-0.088627503909,0.0995699,0.36790086,-0.51889271,0.0258695,0.0602969,-0.047367,0
-1.59619,1.35315522673,-0.114477,-0.225898539625,0.0950284,0.29454827,0.72623425,0.1381436,0.0350333,0.0454656,0
1.02085,1.05488935111,0.0033474,-2.15580517435,0.104593,0.35564231,0.22868514,-0.023801,0.0364611,-0.0667885,0
2.04217,0.107192432034,0.0451229,-0.600394148512,0.0963916,0.09432539,-0.53026178,-0.0524,-0.0425874,-0.0407384,0
2.95795,0.324285084616,0.08370528,0.72936227551,0.101997,-0.32771539,0.25265401,0.0350702,0.0488447,-0.0526882,0
1.27928,-0.47868362769,-0.091291,0.165225959406,0.0946497,0.45706967,-0.36586978,0.0332436,0.0385298,-0.0341768,0
-0.12634,-1.23136048379,-0.110194,0.769844736321,0.0901026,0.24413423,-0.46042282,-0.105681,0.0685642,0.044031,0
